Время,АЦП,Ток (мА),Давление (бар)
22:41:09,726,14.19,6.37
22:41:10,820,16.03,7.52
22:41:10,302,5.9,1.19
22:41:11,1022,19.98,9.99
22:41:11,832,16.27,7.67
22:41:12,297,5.81,1.13
22:41:12,905,17.69,8.56
22:41:13,207,4.05,0.03
22:41:13,985,19.26,9.54
22:41:14,942,18.42,9.01
22:41:14,875,17.11,8.19
22:41:15,207,4.05,0.03
22:41:15,835,16.32,7.7
22:41:16,472,9.23,3.27
22:41:16,300,5.87,1.17
22:41:17,290,5.67,1.04
22:41:17,1005,19.65,9.78
22:41:18,267,5.22,0.76
22:41:18,603,11.79,4.87
22:41:19,673,13.16,5.72
22:41:19,459,8.97,3.11
22:41:24,668,13.06,5.66
22:41:25,641,12.53,5.33
22:41:25,206,4.03,0.02
22:41:26,571,11.16,4.48
22:41:32,766,14.98,6.86
22:41:33,497,9.72,3.57
22:41:33,848,16.58,7.86
22:41:34,794,15.52,7.2
22:41:34,377,7.37,2.11
22:41:35,533,10.42,4.01
22:41:35,355,6.94,1.84
22:41:36,909,17.77,8.61
22:41:36,504,9.85,3.66
22:41:37,874,17.09,8.18
22:41:37,825,16.13,7.58
22:41:38,417,8.15,2.6
22:41:38,669,13.08,5.67
22:41:39,671,13.12,5.7
22:41:39,476,9.31,3.32
22:41:40,975,19.06,9.41
22:41:41,714,13.96,6.22
22:41:41,514,10.05,3.78
22:41:42,376,7.35,2.09
22:41:42,408,7.98,2.49
22:41:43,582,11.38,4.61
22:41:43,980,19.16,9.47
22:41:44,726,14.19,6.37
22:41:44,707,13.82,6.14
22:41:45,310,6.06,1.29
22:41:45,394,7.7,2.31
22:41:46,576,11.26,4.54
22:41:46,571,11.16,4.48
22:41:47,574,11.22,4.51
22:41:47,970,18.96,9.35
22:41:48,224,4.38,0.24
22:41:48,521,10.19,3.87
22:41:49,781,15.27,7.04
22:41:49,830,16.23,7.64
22:41:50,521,10.19,3.87
22:41:50,865,16.91,8.07
22:41:51,749,14.64,6.65
22:41:51,423,8.27,2.67
22:41:52,1009,19.73,9.83
22:41:52,213,4.16,0.1
22:41:56,516,10.09,3.8
22:41:56,821,16.05,7.53
22:41:57,406,7.94,2.46
22:41:57,836,16.34,7.72
22:41:58,771,15.07,6.92
22:41:58,556,10.87,4.29
22:41:59,785,15.35,7.09
22:41:59,363,7.1,1.94
22:42:00,537,10.5,4.06
22:42:00,841,16.44,7.78
22:42:01,594,11.61,4.76
22:42:01,449,8.78,2.99
22:42:02,678,13.26,5.78
22:42:03,379,7.41,2.13
22:42:03,788,15.41,7.13
